Track,Album_Name,Artist,Release_Date,All_Time_Spotify_Rank,Track_Score,Spotify_Streams,Spotify_Popularity,YouTube_Views,YouTube_Likes,Explicit_Track_Ratings,Shazam_Counts
Thunder,Thunder,Imagine Dragons,4/27/2017,203,106.9,"2,384,768,901",79.0,"2,707,166,590","16,780,231",0,"13,844,050"
Rush,Rush,Ayra Starr,9/16/2022,205,106.4,"371,886,608",67.0,"361,174,452","1,904,397",0,"8,870,769"
abcdefu,abcdefu,GAYLE,8/13/2021,206,106.2,"1,128,273,165",70.0,"499,895,662","6,801,671",1,"7,565,502"
Buga,Buga,Kizz Daniel,5/3/2022,208,105.8,"86,516,910",57.0,"266,679,537","1,536,035",0,"3,876,226"
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,207,105.8,"1,087,938,471",73.0,"147,472,695","2,050,299",1,"4,118,983"
MONEY,LALISA,LISA,9/10/2021,210,105.5,"1,189,335,848",73.0,"1,323,718,887","20,328,622",1,"3,720,737"
Columbia,Columbia,Quevedo,7/7/2023,209,105.5,"721,002,940",79.0,"266,411,536","1,343,262",0,"1,148,958"
LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,212,105.2,"684,204,777",78.0,"362,779,953","1,617,493",1,"1,567,605"
Woman,Planet Her,Doja Cat,6/25/2021,211,105.2,"1,606,950,381",78.0,"641,326,002","7,454,749",1,"5,907,933"
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,213,104.9,"795,960,535",73.0,"176,996,169","1,606,296",1,"3,861,203"
KING KONG,KING KONG,TREASURE,5/28/2024,214,104.5,"8,078,265",68.0,"44,927,750","931,230",0,"12,404"
How You Like That,How You Like That,BLACKPINK,6/25/2020,215,104.5,"1,033,109,188",68.0,"1,584,676,582","29,210,301",0,"3,461,123"
Milf Song,Milf Song,The Puddleducks,8/19/2022,216,104.5,"1,165,982",28.0,"1,704,936,540","3,631,067",0,"1,261"
Nasty,Nasty,Tinashe,4/12/2024,217,104.4,"31,612,906",76.0,"6,277,949","171,470",0,"336,779"
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,12/2/2022,218,104.4,"706,356,280",77.0,"172,653,099","1,750,863",1,"2,363,066"
Panda,Panda,Desiigner,2/26/2016,219,104.2,"1,181,348,550",62.0,"2,277,330,940","22,334,292",1,"10,372,624"
Tattoo,Tattoo,Loreen,2/25/2023,221,103.9,"518,846,340",77.0,"348,331,280","3,205,077",0,"7,777,679"
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/2021,222,103.4,"1,823,871,908",76.0,"307,855,103","2,540,592",1,"9,556,378"
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,3/17/2023,223,103.3,"102,772,879",61.0,"65,934,972","760,669",1,"4,072,292"
Illusion,Illusion,Dua Lipa,4/11/2024,225,103.1,"108,501,771",12.0,"3,947,610","60,459",1,"437,667"
drivers license,drivers license,Olivia Rodrigo,1/8/2021,226,102.9,"2,184,754,018",79.0,"984,811,734","18,682,671",1,"11,006,064"
Used To Be Young,Endless Summer Vacation,Miley Cyrus,8/18/2023,227,102.4,"205,468,104",69.0,"61,624,959","1,364,492",0,"1,999,859"
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,229,102.3,"861,388,470",48.0,"15,219,067","176,594",0,"5,114,752"
